canonical_sku,article_aliases,name_samples,seen_in_tsum,seen_in_cost,in_intersection,tsum_qty_total,tsum_amount_total
40-08,40-08,"ПЛАТЬЕ,КЕЙП",N,Y,N,0.0,0.0
40-12,40-12,ПЛАТЬЕ,N,Y,N,0.0,0.0
40-13,40-13,ПЛАТЬЕ,N,Y,N,0.0,0.0
40-21,40-21,ПЛАТЬЕ,N,Y,N,0.0,0.0
40-22,40-22,ПЛАТЬЕ,N,Y,N,0.0,0.0
40-7,40-7,ПЛАТЬЕ,N,Y,N,0.0,0.0
41-16,41-16,ПЛАТЬЕ,N,Y,N,0.0,0.0
43-02,43-02,жакет | юбка,N,Y,N,0.0,0.0
43-05,43-05,жакет | юбка,N,Y,N,0.0,0.0
43-07,43-07,брюки | жакет,N,Y,N,0.0,0.0
43-09,43-09,жакет | юбка,N,Y,N,0.0,0.0
"43-12,4311","43-12,4311",ЛЕКАЛА,N,Y,N,0.0,0.0
43-13,43-13,брюки,N,Y,N,0.0,0.0
43-14,43-14,брюки,N,Y,N,0.0,0.0
43-17,43-17,платье гол,N,Y,N,0.0,0.0
43-23,43-23,юбка,N,Y,N,0.0,0.0
43-24,43-24,ПОЛОЧКА | платье,N,Y,N,0.0,0.0
43-25,43-25,БОДИ | ВЫШИВКА,N,Y,N,0.0,0.0
43-26,43-26,жакет,N,Y,N,0.0,0.0
43-32,43-32,корсет/платье+реставрац,N,Y,N,0.0,0.0
44-05,44-05,КОСТЮМ | жакет,N,Y,N,0.0,0.0
44-11,44-11,брюки | платье,N,Y,N,0.0,0.0
44-14,44-14,жакет | жакет +шапочка,N,Y,N,0.0,0.0
44-22,44-22,платье | платье подсолнух,N,Y,N,0.0,0.0
44-27,44-27,юбка,N,Y,N,0.0,0.0
44-28,44-28,блузон клематис,N,Y,N,0.0,0.0
45-01,45-01,жакет | жакет н/п,N,Y,N,0.0,0.0
45-04,45-04,юбка | юбка насюрморт,N,Y,N,0.0,0.0
45-05,45-05,берет | жакет,N,Y,N,0.0,0.0
45-06,45-06,бант | брюки,N,Y,N,0.0,0.0
45-07,45-07,жакет | юбка,N,Y,N,0.0,0.0
45-08,45-08,чокер,N,Y,N,0.0,0.0
45-09,45-09,жилет пальто | колье,N,Y,N,0.0,0.0
45-1,45-1,БЛУЗА,N,Y,N,0.0,0.0
45-11,45-11,платье | сарафан,N,Y,N,0.0,0.0
45-12,45-12,платье,N,Y,N,0.0,0.0
45-13,45-13,БЛУЗА | ШОРТЫ,N,Y,N,0.0,0.0
45-14,45-14,ПЛАТЬЕ,N,Y,N,0.0,0.0
45-17,45-17,БЛУЗА | ЮБКА,N,Y,N,0.0,0.0
45-18,45-18,БЛУЗА | ШОРТЫ,N,Y,N,0.0,0.0
45-19,45-19,жакет,N,Y,N,0.0,0.0
45-2,45-2,БАКЛАЖАН,N,Y,N,0.0,0.0
45-20,45-20,ПЛАТЬЕ | платье ежевика,N,Y,N,0.0,0.0
45-22,45-22,платье,N,Y,N,0.0,0.0
45-23,45-23,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
45-27,45-27,БЛУЗА | ЮБКА,N,Y,N,0.0,0.0
45-28,45-28,ПЛАТЬЕ | ШЛЕЙФ,N,Y,N,0.0,0.0
45-29,45-29,БЛУЗА,N,Y,N,0.0,0.0
45-30,45-30,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
45-31,45-31,ПЛАТЬЕ | блузон,N,Y,N,0.0,0.0
45-32,45-32,ПЛАТЬЕ,N,Y,N,0.0,0.0
45-7,45-7,ПЛАТЬЕ,N,Y,N,0.0,0.0
46-01,46-01,жакет | жакет с выш,N,Y,N,0.0,0.0
46-02,46-02,пальто,N,Y,N,0.0,0.0
46-03,46-03,брюки н/п | брюки н/п + переделка,N,Y,N,0.0,0.0
46-04,46-04,баска | блуза,N,Y,N,0.0,0.0
46-06,46-06,боди,N,Y,N,0.0,0.0
46-08,46-08,платье,N,Y,N,0.0,0.0
46-1,46-1,жакет,N,Y,N,0.0,0.0
46-10,46-10,жакет | юбка,N,Y,N,0.0,0.0
46-12,46-12,кейп,N,Y,N,0.0,0.0
46-13,46-13,платье,N,Y,N,0.0,0.0
46-14,46-14,платье,N,Y,N,0.0,0.0
46-15,46-15,боди,N,Y,N,0.0,0.0
46-16,46-16,платье,N,Y,N,0.0,0.0
46-17,46-17,жакет | юбка,N,Y,N,0.0,0.0
46-19,46-19,блуза,N,Y,N,0.0,0.0
46-2,46-2,жакет,N,Y,N,0.0,0.0
46-20,46-20,пальто,N,Y,N,0.0,0.0
46-21,46-21,НАКИДКА | ПЛАТЬЕ,N,Y,N,0.0,0.0
46-22,46-22,платье | платье с арабеск,N,Y,N,0.0,0.0
46-23,46-23,платье,N,Y,N,0.0,0.0
46-24,46-24,боди | жакет,N,Y,N,0.0,0.0
46-25,46-25,жакет | платье,N,Y,N,0.0,0.0
46-26,46-26,платье,N,Y,N,0.0,0.0
46-27,46-27,платье,N,Y,N,0.0,0.0
46-3,46-3,жакет | платье,N,Y,N,0.0,0.0
46-4,46-4,платье,N,Y,N,0.0,0.0
46-5,46-5,платье,N,Y,N,0.0,0.0
46-6,46-6,платье,N,Y,N,0.0,0.0
46-7,46-7,боди | юбка,N,Y,N,0.0,0.0
46-8,46-8,блуза,N,Y,N,0.0,0.0
46-9,46-9,боди,N,Y,N,0.0,0.0
"47,0-3331,A","47,0-3331,А",БРАСЛЕТЫ,N,Y,N,0.0,0.0
47-,47-,манишка,N,Y,N,0.0,0.0
47-01,47-01,платье,N,Y,N,0.0,0.0
47-02,47-02,боди,N,Y,N,0.0,0.0
47-03,47-03,блузон | брюки,N,Y,N,0.0,0.0
47-04,47-04,платье,N,Y,N,0.0,0.0
47-05,47-05,боди | брюки,N,Y,N,0.0,0.0
47-06,47-06,платье,N,Y,N,0.0,0.0
47-07,47-07,жакет | шорты,N,Y,N,0.0,0.0
47-08,47-08,жакет | юбка,N,Y,N,0.0,0.0
47-09,47-09,брюки | кимоно,N,Y,N,0.0,0.0
47-10,47-10,брюки | жакет,N,Y,N,0.0,0.0
47-11,47-11,платье,N,Y,N,0.0,0.0
47-12,47-12,комбинез 1 | комбинез 2,N,Y,N,0.0,0.0
47-13,47-13,платье,N,Y,N,0.0,0.0
47-14,47-14,ПЛАТЬЕ | ЮБКА,N,Y,N,0.0,0.0
47-15,47-15,боди,N,Y,N,0.0,0.0
47-16,47-16,платье,N,Y,N,0.0,0.0
47-17,47-17,ниж.юбка | платье корсет,N,Y,N,0.0,0.0
47-18,47-18,жакет | ниж. юбка,N,Y,N,0.0,0.0
47-19,47-19,боди | кейп,N,Y,N,0.0,0.0
47-20,47-20,платье,N,Y,N,0.0,0.0
47-21,47-21,жакет | ниж юбка,N,Y,N,0.0,0.0
47-22,47-22,БРАСЛЕТ | жакет,N,Y,N,0.0,0.0
47-23,47-23,платье,N,Y,N,0.0,0.0
47-24,47-24,БАЛЕРО | ПЛАТЬЕ,N,Y,N,0.0,0.0
47-25,47-25,корсет | юбка,N,Y,N,0.0,0.0
47-26,47-26,платье,N,Y,N,0.0,0.0
47-27,47-27,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
47-28,47-28,БОДИ | КОМБЕНИЗОН,N,Y,N,0.0,0.0
47-29,47-29,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
47-30,47-30,БРАСЛЕТ | ЖАКЕТ,N,Y,N,0.0,0.0
47-31,47-31,платье | фата,N,Y,N,0.0,0.0
47-32,47-32,ЖАКЕТ | ТОП,N,Y,N,0.0,0.0
47-33,47-33,ТОП | ЮБКА,N,Y,N,0.0,0.0
48-11,48-11,ШОРТЫ,N,Y,N,0.0,0.0
48-15,48-15,ПЛАТЬЕ,N,Y,N,0.0,0.0
48-19,48-19,БЛУЗА | БРЮКИ,N,Y,N,0.0,0.0
48-21,48-21,Н.ЮБКА | ПЛАТЬЕ,N,Y,N,0.0,0.0
48-22,48-22,ВЫШИВКА,N,Y,N,0.0,0.0
48-24,48-24,БРЮКИ | ЖАКЕТ,N,Y,N,0.0,0.0
48-25,48-25,ШОРТЫ,N,Y,N,0.0,0.0
48-27,48-27,БЛУЗА | ЛЕГГИНСЫ,N,Y,N,0.0,0.0
48-29,48-29,ВЫШИВКА,N,Y,N,0.0,0.0
48-30,48-30,ПЛАТЬЕ,N,Y,N,0.0,0.0
"48-30,24","48-30,24",ТРУСЫ,N,Y,N,0.0,0.0
48-33,48-33,ПЛАТЬЕ,N,Y,N,0.0,0.0
48-4,48-4,ШОРТЫ,N,Y,N,0.0,0.0
48-8,48-8,ВЫШИВКА,N,Y,N,0.0,0.0
COTЫ,СОТЫ,СОТЫ,N,Y,N,0.0,0.0
HГ,НГ,,N,Y,N,0.0,0.0
K0-3225,к 0-3225,топ М,N,Y,N,0.0,0.0
K29-15,к 29-15,кейп,N,Y,N,0.0,0.0
K3134,к 3134,ниж юбки,N,Y,N,0.0,0.0
K43-09,к 43-09,ниж.юбка | юбка,N,Y,N,0.0,0.0
K43-25,к 43-25,юбка н/п,N,Y,N,0.0,0.0
K44-11,к 44-11,брюки,N,Y,N,0.0,0.0
K44-14,к 44-14,ниж платье,N,Y,N,0.0,0.0
K44-22,к 44-22,брюки,N,Y,N,0.0,0.0
K45-09,к 45-09,кейп,N,Y,N,0.0,0.0
K46-01,к 46-01,юбка,N,Y,N,0.0,0.0
K47-11,к 47-11,манишка,N,Y,N,0.0,0.0
KAФTAH,КАФТАН,КОЛЬЕ | ПЕРЕДЕЛКА,N,Y,N,0.0,0.0
KOЛЬE,КОЛЬЕ,ВЫШИВКА,N,Y,N,0.0,0.0
"KOЛЬE,БPACЛETЫ","КОЛЬЕ, БРАСЛЕТЫ",ВЫШИВКА,N,Y,N,0.0,0.0
KP-109,КР-109,ХАЛАТ,N,Y,N,0.0,0.0
KПЛ45-12,к пл 45-12,кейп,N,Y,N,0.0,0.0
KУPTKA,КУРТКА,ОПУШКА,N,Y,N,0.0,0.0
M-B24(18),М-В24(18),ПЛАТЬЕ,N,Y,N,0.0,0.0
MAKET,МАКЕТ,ПРОБА,N,Y,N,0.0,0.0
O-3208A,О-3208А,Свитшот бархатный,N,Y,N,0.0,0.0
O-3208B,О-3208В,Свитшот бархатный,N,Y,N,0.0,0.0
O-3209A,О-3209А,Брюки бархатные,N,Y,N,0.0,0.0
O-3209B,О-3209В,Брюки бархатные,N,Y,N,0.0,0.0
T-000,Т-000,Платье комбинация,N,Y,N,0.0,0.0
T-0000,Т-0000,,N,Y,N,0.0,0.0
T-1416,T-1416 | Т-1416,"Брюки джогеры | Брюки-джоггеры женские, из стр(Черный/L)НЕ00909283",Y,Y,Y,14.0,237972.36
T-1418,T-1418 | Т-1418,Пуловер бархат | Пуловер стрейч-бархат черный,Y,Y,Y,14.0,369600.04
T-1444A,Т-1444A | Т-1444А,"Свитшот женский, черный, из фу(Черный/L)НЕ00908214 | Свитшот женский, черный, из фу(Черный/M)НЕ00908214",Y,Y,Y,5.0,135999.99
T-1672F,Т-1672F | Т-1672F/1,"Рубашка в белом цвете,  надпись | Рубашка в белом цвете, новая надпись",N,Y,N,0.0,0.0
T-1879B,T-1879В,"Юбка женская, черная, из стрей(Черный/M-L)НЕ00902361 | Юбка женская, черная, из стрей(Черный/S-M)НЕ00902361",Y,N,N,4.0,173786.07
T-1960,T-1960 | T-1960/1 | Т-1960/1,"БЛУЗА | Блуза женская, розовая, из шиф(Розовый/M-L)НЕ00890947",Y,Y,Y,18.0,748177.66
T-1984P,T-1984P | Т-1984Р,"Футболка | Футболка женская, из трикотажа(Белый/L)НЕ00914186",Y,Y,Y,11.0,171902.82
T-2032C,T-2032C/3,"Блуза женская, зеленая с принт(Зеленый/L)НЕ00876482 | Блуза женская, зеленая с принт(Зеленый/M-L)НЕ00876482",Y,N,N,5.0,192340.38
T-2037B,T-2037В,Капри цветы,N,Y,N,0.0,0.0
T-2037C,T-2037C/3,"Брюки-капри женские, зеленые с(Зеленый/L)НЕ00876481 | Брюки-капри женские, зеленые с(Зеленый/M-L)НЕ00876481",Y,N,N,6.0,163488.76
T-2037D,T-2037D,"Брюки женские, голубые с принт(Голубой/M-L)НЕ00911860 | Брюки женские, голубые с принт(Голубой/S-M)НЕ00911860",Y,N,N,2.0,88566.01
T-2037E,T-2037E,"Брюки женские, черные, из шелк(Черный/M-L)НЕ00911855 | Брюки женские, черные, из шелк(Черный/XL)НЕ00911855",Y,Y,Y,2.0,86196.56
T-2050B,T-2050B/3,"Шорты женские, зеленые с принт(Зеленый/L)НЕ00876464 | Шорты женские, зеленые с принт(Зеленый/M-L)НЕ00876464",Y,N,N,5.0,70717.22
T-2234,Т-2234,Платье - балон,N,Y,N,0.0,0.0
T-2234A,Т-2234 А | Т-2234А,ПЛАТЬЕ | Платье - балон,N,Y,N,0.0,0.0
T-2251A,T-2251A | T-2251A/1,"Платье женское, белое с принто(Белый/L)НЕ00876473 | Платье женское, белое с принто(Белый/M-L)НЕ00876473",Y,N,N,23.0,1113196.63
T-2359,T-2359 | Т-2359,"Пуловер сердце
черный | Свитшот джерси Сердце",Y,Y,Y,13.0,259123.89
T-2359A,T-2359A | Т-2359А,"Пуловер дерево
черный | Свитшот джерси Дерево",Y,Y,Y,11.0,276856.91
T-2381,T-2381 | Т-2381 | т-2381,"Блуза-топ женская на тонких бр(Черный/M-L)НЕ00920219 | Блуза-топ женская, черная, из(Черный/M-L)НЕ00902360",Y,Y,Y,12.0,254200.0
T-2401B,T-2401B/3 | T-2401B/6 | T-2401B/7,"Брюки женские, белые с принтом(Белый/L)НЕ00876472 | Брюки женские, белые с принтом(Белый/M-L)НЕ00876460",Y,N,N,20.0,967285.17
T-2420A,T-2420A/1 | T-2420A/7,"Блуза женская, белая с принтом(Белый/M-L)НЕ00876461 | Блуза женская, белая с принтом(Белый/S-M)НЕ00876461",Y,N,N,16.0,1072179.04
T-2470,T-2470 | Т-2470,Юбка джерси | Юбка женская(Черный/L)НЕ00909282,Y,Y,Y,12.0,277708.42
T-2472,T-2472 | Т-2472,Брюки джерси | Брюки женские(Черный/M)НЕ00922113,Y,Y,Y,15.0,314304.62
T-2475B,T-2475B/1 | T-2475B/2 | T-2475B/3,Рубашка женская свободного сил(Белый/NS)НЕ00876471 | Рубашка женская свободного сил(Розовый/NS)НЕ00876470,Y,N,N,24.0,724533.22
T-2495A,T-2495A,"Платье женское, синее с принто(Синий/L)НЕ00877290 | Платье женское, синее с принто(Синий/M-L)НЕ00877290",Y,N,N,10.0,908613.48
T-2495B,T-2495B,"Платье женское, черное с принт(Черный/L)НЕ00876479 | Платье женское, черное с принт(Черный/M-L)НЕ00876479",Y,N,N,9.0,1029898.05
T-2540,T-2540 | T-2540/2,"Блуза женская, голубая с принт(Голубой/L)НЕ00876457 | Блуза женская, голубая с принт(Голубой/M-L)НЕ00876457",Y,N,N,15.0,1179346.4
T-2541,T-2541 | T-2541/2 | Т-2541,"БРЮКИ | Брюки женские, голубые с принт(Голубой/L)НЕ00876455",Y,Y,Y,13.0,627003.21
T-2546,T-2546 | T-2546/1,"Пальто-халат женское, серое с(Серый/L)НЕ00876449 | Пальто-халат женское, черное с(Черный/L)НЕ00876484",Y,N,N,6.0,480680.0
T-2547,T-2547 | T-2547/1,"Брюки женские, серые с принтом(Серый/M-L)НЕ00876466 | Брюки женские, серые с принтом(Серый/S-M)НЕ00876466",Y,N,N,8.0,388828.39
T-2556B,T-2556B,"Брюки женские, черные с принто(Черный/L)НЕ00876462 | Брюки женские, черные с принто(Черный/M-L)НЕ00876462",Y,N,N,13.0,626456.78
T-2560A,T-2560A/1,"Пальто-халат женское, белое с(Белый/M-L)НЕ00876463 | Пальто-халат женское, белое с(Белый/S-M)НЕ00876463",Y,N,N,5.0,333422.15
T-2560B,T-2560B/3,"Пальто-халат женское, зеленое(Зеленый/L)НЕ00876467 | Пальто-халат женское, зеленое(Зеленый/M-L)НЕ00876467",Y,N,N,4.0,208309.91
T-2572,T-2572/1,"Блуза женская, синяя с принтом(Синий/M-L)НЕ00876480 | Блуза женская, синяя с принтом(Синий/S-M)НЕ00876480",Y,N,N,3.0,152400.0
T-2573,T-2573/1,"Шорты женские, синие с принтом(Синий/L)НЕ00876474 | Шорты женские, синие с принтом(Синий/M-L)НЕ00876474",Y,N,N,8.0,113300.96
T-2573A,T-2573A/1,"Шорты женские, белые с принтом(Белый/L)НЕ00876456 | Шорты женские, белые с принтом(Белый/M-L)НЕ00876456",Y,N,N,6.0,115641.3
T-2604,Т-2604,Юбка черный стрейч бархат | Юбка черный стрейч-бархат,Y,Y,Y,7.0,253400.0
T-2604A,Т-2604А,Юбка Леопард из джерси,N,Y,N,0.0,0.0
T-2671A,Т-2671А,Блузка из шифона с кружевом,N,Y,N,0.0,0.0
T-2673,Т-2673,Блузка бархатная с вышивкой,N,Y,N,0.0,0.0
T-2699,T-2699 | Т-2699,"ЮБКА | Юбка женская, черная, из пайет(Черный/M-L)НЕ00890952",Y,Y,Y,3.0,537850.0
T-2701,T-2701,"Куртка женская, коричневая, из(Коричневый/M-L)НЕ00890950 | Куртка женская, коричневая, из(Коричневый/S-M)НЕ00890950",Y,N,N,4.0,688800.0
T-2702,T-2702,"Платье женское, черное, из дже(Черный/M-L)НЕ00890944 | Платье женское, черное, из дже(Черный/S-M)НЕ00890944",Y,N,N,10.0,681851.94
T-2703,T-2703 | Т-2703,Блуза женская(Черный/M-L)НЕ00892066 | Блуза женская(Черный/S)НЕ00892066,Y,Y,Y,11.0,589108.33
T-2704,T-2704,"Платье женское, черное, из кре(Черный/M-L)НЕ00890953 | Платье женское, черное, из кре(Черный/S-M)НЕ00890953",Y,N,N,4.0,408360.0
T-2705,T-2705,"Платье женское, черное, из кре(Черный/M-L)НЕ00890951 | Платье женское, черное, из кре(Черный/S-M)НЕ00890951",Y,N,N,2.0,182200.0
T-2707,T-2707,"Жакет женский, синий, из шелко(Синий/M-L)НЕ00890939 | Жакет женский, синий, из шелко(Синий/S-M)НЕ00890939",Y,N,N,7.0,758580.0
T-2708,T-2708,"Брюки женские, синие, из шелко(Синий/M-L)НЕ00890943 | Брюки женские, синие, из шелко(Синий/S-M)НЕ00890943",Y,N,N,6.0,300080.0
T-2719,T-2719,"Пальто женское, серое, из нату(Серый/M-L)НЕ00890955 | Пальто женское, серое, из нату(Серый/S-M)НЕ00890955",Y,N,N,4.0,863100.0
T-2720,T-2720,"Пальто женское, бежевое, из за(Бежевый/M-L)НЕ00890948 | Пальто женское, бежевое, из за(Бежевый/S-M)НЕ00890948",Y,N,N,2.0,389200.0
T-2750A,T-2750A,"Блуза-топ женская, белая с при(Белый/M-L)НЕ00876475 | Блуза-топ женская, белая с при(Белый/S-M)НЕ00876475",Y,N,N,3.0,62548.58
T-2750B,T-2750B | T-2750B/1,"Блуза-топ женская, серая, из ш(Серый/L)НЕ00876465 | Блуза-топ женская, серая, из ш(Серый/M-L)НЕ00876465",Y,Y,Y,22.0,452156.19
T-2750C,T-2750C | T-2750С,"Блуза-топ женская, мятная, из(Бирюзовый/S-M)НЕ00911853 | Блуза-топ женская, мятная, из(Бирюзовый/XL)НЕ00911853",Y,Y,Y,4.0,84739.27
T-2750D,T-2750D,"Блуза-топ женская, голубая, из(Голубой/M-L)НЕ00911861 | Блуза-топ женская, голубая, из(Голубой/S-M)НЕ00911861",Y,Y,Y,4.0,83177.16
T-2750E,T-2750E,Топ на бретелях шелк,N,Y,N,0.0,0.0
T-2751,T-2751,"Юбка женская, синяя с принтом(Синий/M-L)НЕ00876451 | Юбка женская, синяя с принтом(Синий/S-M)НЕ00876451",Y,N,N,6.0,162155.72
T-2752,T-2752,"Блуза женская, черная с принто(Черный/L)НЕ00876458 | Блуза женская, черная с принто(Черный/M-L)НЕ00876458",Y,N,N,11.0,734878.08
T-2753,T-2753,"Блуза женская, синяя с принтом(Синий/L)НЕ00876459 | Блуза женская, синяя с принтом(Синий/M-L)НЕ00876459",Y,N,N,7.0,413512.85
T-2754,T-2754 | Т-2754,"ПЛАТЬЕ | Платье женское, черное с принт(Черный/M-L)НЕ00876483",Y,Y,Y,15.0,742444.18
T-2754A,T-2754A | T-2754А | Т-2754а,"Платье женское, белое с принто(Белый/M-L)НЕ00876453 | Платье женское, белое с принто(Белый/S-M)НЕ00876453",Y,Y,Y,10.0,492196.78
T-2756,T-2756/1,"Свитер женский, черный, из каш(Черный/S-M)НЕ00890954",Y,N,N,1.0,95655.0
T-2756A,T-2756A,"Свитер женский, серый, из каше(Серый/M-L)НЕ00890949",Y,N,N,1.0,95128.08
T-2756B,T-2756B,"Свитер женский, белый, из каше(Белый/S-M)НЕ00890942",Y,N,N,1.0,91100.0
T-2756C,T-2756C,"Свитер женский, черный, из каш(Черный/M-L)НЕ00890938 | Свитер женский, черный, из каш(Черный/S-M)НЕ00890938",Y,N,N,6.0,318230.0
T-2756D,T-2756D,"Свитер женский, фуксия, из каш(Фуксия/M-L)НЕ00890946 | Свитер женский, фуксия, из каш(Фуксия/S-M)НЕ00890946",Y,N,N,6.0,368926.68
T-2757,T-2757,"Брюки женские, коричневые, из(Коричневый/M-L)НЕ00890945 | Брюки женские, коричневые, из(Коричневый/S-M)НЕ00890945",Y,N,N,6.0,372710.0
T-2758,T-2758,"Юбка женская, черная, из шелка(Черный/M-L)НЕ00890941 | Юбка женская, черная, из шелка(Черный/S-M)НЕ00890941",Y,N,N,10.0,511870.52
T-2759,T-2759,"Юбка женская, коричневая, из н(Коричневый/S-M)НЕ00896168",Y,N,N,1.0,42105.0
T-2760,T-2760,"Юбка женская, черная, из натур(Черный/M-L)НЕ00890956 | Юбка женская, черная, из натур(Черный/S-M)НЕ00890956",Y,N,N,9.0,366915.0
T-2788,T-2788 | Т-2788,"Платье женское  с принтом ""чер(Белый/M-L)НЕ00914190 | Платье женское  с принтом ""чер(Белый/S-M)НЕ00914190",Y,Y,Y,4.0,359740.0
T-2792,T-2792 | Т-2792,"Платье женское  с принтом ""чер(Белый/M-L)НЕ00914183 | Платье женское  с принтом ""чер(Белый/S-M)НЕ00914183",Y,Y,Y,4.0,475880.02
T-2792A,T-2792A | Т-2792А,"Платье женское  с принтом ""бел(Серый/M-L)НЕ00914184 | Платье женское  с принтом ""бел(Серый/S-M)НЕ00914184",Y,Y,Y,3.0,357012.84
T-2804,T-2804 | Т-2804,"Жакет женский с принтом ""белый(Черный/M-L)НЕ00911862 | Жакет женский с принтом ""белый(Черный/S-M)НЕ00911862",Y,Y,Y,5.0,381041.83
T-2805,T-2805 | Т-2805,"Жилет женский в белый горох, и(Черный/M-L)НЕ00914181 | Жилет женский в белый горох, и(Черный/S-M)НЕ00914181",Y,Y,Y,3.0,229421.35
T-2806,T-2806 | Т-2806,"Брюки женские, черные с принто(Черный/M-L)НЕ00911859 | Брюки женские, черные с принто(Черный/S-M)НЕ00911859",Y,Y,Y,5.0,273915.02
T-2846,T-2846/1,"Платье женское, черное, из хло(Черный/M-L)НЕ00902362 | Платье женское, черное, из хло(Черный/S-M)НЕ00902362",Y,N,N,3.0,424346.5
T-2847,T-2847,"Платье женское, черное, из даб(Черный/S-M)НЕ00902364",Y,N,N,1.0,118695.15
T-2861,T-2861 | Т-2861,"Футболка женская с принтом ""цв(Белый/M-L)НЕ00914179 | Футболка женская с принтом ""цв(Белый/S-M)НЕ00914179",Y,Y,Y,5.0,130110.01
T-2861A,T-2861A | Т-2861A,"Футболка женская с принтом ""де(Белый/M-L)НЕ00914189 | Футболка женская с принтом ""де(Белый/S-M)НЕ00914189",Y,Y,Y,2.0,52044.01
T-2862,T-2862 | Т-2862,"Рубашка дерево | Рубашка женская, белая  из хло(Белый/M-L)НЕ00912390",Y,Y,Y,9.0,402424.26
T-2865,T-2865 | Т-2865,"Платье женское с принтом ""черн(Белый/M-L)НЕ00914188 | Платье из батиста",Y,Y,Y,1.0,135587.0
T-2865A,T-2865A | Т-2865A,"Платье женское с принтом ""белы(Черный/M-L)НЕ00914177 | Платье женское с принтом ""белы(Черный/S-M)НЕ00914177",Y,Y,Y,6.0,816720.5
T-2871,T-2871 | Т-2871,"Блуза женская, желтая, из хлоп(Желтый/M-L)НЕ00912394 | Блуза женская, желтая, из хлоп(Желтый/S-M)НЕ00912394",Y,Y,Y,3.0,132849.01
T-2871A,T-2871A | Т-2871А,"Блуза женская, белая, из хлопк(Белый/M-L)НЕ00912393 | Блуза женская, белая, из хлопк(Белый/S-M)НЕ00912393",Y,Y,Y,2.0,88011.63
T-2872,T-2872 | Т-2872,"Блуза женская с принтом ""хаоти(Черный/M-L)НЕ00914187 | Блуза женская с принтом ""хаоти(Черный/S-M)НЕ00914187",Y,Y,Y,8.0,609911.99
T-2873,T-2873 | Т-2873,"Брюки женские, черные с принто(Черный/M-L)НЕ00914174 | Брюки женские, черные с принто(Черный/S-M)НЕ00914174",Y,Y,Y,8.0,438264.04
T-2873C,T-2873C | Т-2873С,"Брюки без лампас капли | Брюки женские с принтом ""голуб(Бежевый/M-L)НЕ00914178",Y,Y,Y,3.0,164349.01
T-2885,T-2885 | Т-2885,"Пальто-халат женское, розовое(Розовый/XL)НЕ00911857 | Халат накидка принт ЦВЕТЫ",Y,Y,Y,1.0,78303.85
T-2888,Т-2888,Платье из батиста,N,Y,N,0.0,0.0
T-2892,T-2892 | Т-2892,"Жакет женский с принтом ""белый(Черный/M-L)НЕ00914176 | Жакет женский с принтом ""белый(Черный/S-M)НЕ00914176",Y,Y,Y,2.0,158013.37
T-2893,T-2893 | Т-2893,"Брюки женские с принтом ""белый(Черный/M-L)НЕ00914180 | Брюки женские с принтом ""белый(Черный/S-M)НЕ00914180",Y,Y,Y,3.0,168822.04
T-2894,T-2894 | Т-2894,"Платье + рукава буфы | Платье женское, белое с принто(Белый/S-M)НЕ00912392",Y,Y,Y,0.0,0.0
T-2909,T-2909 | Т-2909,"Брюки женские, розовые, из шел(Розовый/M-L)НЕ00911856 | Брюки женские, розовые, из шел(Розовый/S-M)НЕ00911856",Y,Y,Y,1.0,44283.0
T-2910,T-2910 | Т-2910,"Блуза-топ женский из шелка, с(Розовый/M-L)НЕ00914185 | Блуза-топ женский из шелка, с(Розовый/S-M)НЕ00914185",Y,Y,Y,3.0,173933.99
T-2911,T-2911 | Т-2911,Пальто-халат женское из сетки(Розовый/M-L)НЕ00912396 | Пальто-халат женское из сетки(Розовый/S-M)НЕ00912396,Y,Y,Y,4.0,231911.99
T-2921,T-2921 | Т-2921,"Шорты женские, черные, из шелк(Черный/M-L)НЕ00912389 | Шорты женские, черные, из шелк(Черный/S-M)НЕ00912389",Y,Y,Y,5.0,107285.01
T-2923,T-2923 | Т-2923,"Блуза-топ женский из шелка, с(Черный/M-L)НЕ00914175 | Блуза-топ женский из шелка, с(Черный/S-M)НЕ00914175",Y,Y,Y,3.0,173933.99
T-2924,T-2924 | Т-2924,"Пальто-халат женское, черное,(Черный/M-L)НЕ00912398 | Пальто-халат женское, черное,(Черный/S-M)НЕ00912398",Y,Y,Y,4.0,231911.99
T-2928,T-2928 | Т-2928,"Блуза женская с принтом ""голуб(Бежевый/M-L)НЕ00914182 | Блуза женская с принтом ""голуб(Бежевый/S-M)НЕ00914182",Y,Y,Y,3.0,228717.0
T-2933,T-2933,"Блуза женская, черная, из шелк(Черный/M-L)НЕ00912400 | Блуза женская, черная, из шелк(Черный/S-M)НЕ00912400",Y,N,N,3.0,191836.8
T-2936,Т-2936,"Жакет Черный
Шелковый бархат",N,Y,N,0.0,0.0
T-2937,Т-2937,"Брюки  Черный
шелковый бархат",N,Y,N,0.0,0.0
T-2938,T-2938,"Блуза женская, белая, с вышивк(Белый/M-L)НЕ00902366 | Блуза женская, белая, с вышивк(Белый/S-M)НЕ00902366",Y,N,N,3.0,167095.63
